,actual_time,osrm_time,segment_actual_time,segment_osrm_time,actual_distance_to_destination,osrm_distance,segment_osrm_distance
actual_time,1.0,0.977997987284063,0.1244113742522645,0.17146504028011889,0.9786589425180989,0.9793993789760076,0.24228168693008584
osrm_time,0.977997987284063,1.0,0.049891907504631794,0.17706581143172082,0.9958717058761498,0.9991186526800317,0.24228208717016017
segment_actual_time,0.1244113742522645,0.049891907504631794,1.0,0.4334218275915453,0.045240836157275297,0.04870483666424496,0.4489592184101981
segment_osrm_time,0.17146504028011889,0.17706581143172082,0.4334218275915453,1.0,0.1588318074251027,0.16915123924287748,0.9485229621613622
actual_distance_to_destination,0.9786589425180989,0.9958717058761498,0.045240836157275297,0.1588318074251027,1.0,0.9971486989947123,0.23211886816923794
osrm_distance,0.9793993789760076,0.9991186526800317,0.04870483666424496,0.16915123924287748,0.9971486989947123,1.0,0.23966922179416147
segment_osrm_distance,0.24228168693008584,0.24228208717016017,0.4489592184101981,0.9485229621613622,0.23211886816923794,0.23966922179416147,1.0
